Title,In P,Date,Type,Authors,Trainee,Publication,Series,Vol,Num,pp,Editors,Venue,Publisher,DOI,ISBN,URL,URL2,Abstract,Accolades,Commentary,year,month,monthname,bibtex_entrytype,bibtex_id
Poetry of Separation: The Aesthetics of Spatial Montage and Generative Editing for Multi-layered Screens,,2014/5,Conference,"Bahng, So Jung; Yoo, Doo Won; Hutchings, Patrick; Shi, Chung Kon; Wakefield, Graham; ","Bahng, So Jung and Hutchings, Patrick",International Conference on Arts and Technology,Lecture Notes of the Institute for Computer Sciences: Social Informatics and Telecommunications Engineering,145,,61-68,,"Istanbul, Turkey","Springer, Cham",10.1007/978-3-319-18836-2_8,978-3-319-18835-5,http://link.springer.com/chapter/10.1007/978-3-319-18836-2_8,http://link.springer.com/chapter/10.1007/978-3-319-18836-2_8,"`Poetry of Separation' is a media artwork that utilizes an algorithmic generative editing system, selecting shots in real-time to be rendered over four screens arranged in layers. Editing in cinema reconstructs images by montage, deriving meaning from the juxtaposition of multiple shots. Although multi-screen projections have been used to present sectional montages that stress the simultaneity of events, spatially separated screens can disrupt attentiveness and affective involvement; the layered architecture avoids disruptive fragmentation. The generative editing system selects shots for the layered screens stochastically, with authorial constraints and probabilities using pre-determined shot criteria. Narrative flow and authorial intents are not damaged due to these criteria, but nevertheless unexpected effects arose from the stochastic system. The authorial intentions of improvisation and separation in the film content of `Poetry of Separations' find resonance with the automatism of the generative editing system and multi-dimensionality of the screens.",,,2014,5,May,inproceedings,bahng_2014_poetryofseparationtheaestheticsofspatialmontageandgenerativeeditingformultilayeredscreens
AiRSculpt: A Wearable Augmented Reality 3D Sculpting System,,2014/6,Conference,"Jang, Sung-A; Kim, Hyung-il; Woo, Woontack; Wakefield, Graham; ","Jang, Sung-A",International Symposium on Ubiquitous Virtual Reality,Lecture Notes in Computer Science,8530,,130-141,,"Heraklion, Crete, Greece",Springer International Publishing,10.1007/978-3-319-07788-8_13,978-3-319-07787-1,http://link.springer.com/chapter/10.1007%2F978-3-319-07788-8_13#page-1,http://dx.doi.org/10.1007/978-3-319-07788-8_13,"In this paper, we present a new kind of wearable augmented reality (AR) 3D sculpting system called AiRSculpt in which users could directly translate their fluid finger movements in air into expressive sculptural forms and use hand gestures to navigate the interface. In AiRSculpt, as opposed to VR-based systems, users could quickly create and manipulate 3D virtual content directly with their bare hands in a real-world setting, and use both hands simultaneously in tandem or as separate tools to sculpt and manipulate their virtual creations. Our system uses a head-mounted display and a RGB-D head-mounted camera to detect the 3D location of hands and fingertips then render virtual content in calibration with real-world coordinates.",,,2014,6,June,inproceedings,jang_2014_airsculptawearableaugmentedreality3dsculptingsystem
Collaborative Live-Coding Virtual Worlds with an Immersive Instrument,,2014/6,Conference,"Wakefield, Graham; Roberts, Charlie; Wright, Matthew; Wood, Timothy; Yerkes, Karl; ",,Proceedings of New Instruments for Musical Expression (NIME).,,,,505-508,,"London, United Kingdom",Goldsmiths College University of London,,,http://nime2014.org/proceedings/papers/328_paper.pdf,http://www.nime.org/proceedings/2014/nime2014_328.pdf,"We discuss live coding audio-visual worlds for large-scale virtual reality environments. We describe Alive, an instrument allowing multiple users to develop sonic and visual behaviors of agents in a virtual world, through a browser based collaborative code interface, accessible while being immersed through spatialized audio and stereoscopic display. The interface adds terse syntax for query-based precise or stochastic selections and declarative agent manipulations, lazily-evaluated expressions for synthesis and behavior, event handling, and flexible scheduling.",,,2014,6,June,inproceedings,wakefield_2014_collaborativelivecodingvirtualworldswithanimmersiveinstrument
Digital Love Letter: A Handwriting Based Interface for Non-instant Digital Messenger,,2014/6,Conference,"Bang, So Jung; Song, Yoonji; Kim, Jae Dong; Suh, Kiseul; Shi, Chung-Kon; Wakefield, Graham; Woo, Sungju; ","Bahng, So Jung and Hutchings, Patrick",International Conference on Human-Computer Interaction: Applications and Services,Lecture Notes in Computer Science,8512,,103-113,,"Heraklion, Crete, Greece","Springer, Cham",10.1007/978-3-319-07227-2_11,978-3-319-07226-5,,http://dx.doi.org/10.1007/978-3-319-07227-2_11,"The instant messenger has developed as an important communication media platform. However, because of the nature of instant communication, instant messenger services place many limitations on communicating with nuance. We believe that the easy nature of digital communications tends to weaken serious aspects of personal communication such as patience and commitment. On the basis of critical perspectives, we designed the digital messenger `Digital Love Letter' (DLL)': a mobile messenger in which the expressive process of interaction is more important than the final output. The main concept of DLL is to share the process of communication using a non-instantaneous and non-multitasking interface, so that users can share their time with some similar nuances to face-to-face communication. Both writing and reading messages require concentrated attention. Thus, this paper suggests a new system of digital messenger, that is also a new method of computer-mediated communication (CMC).",,,2014,6,June,inproceedings,bang_2014_digitalloveletterahandwritingbasedinterfacefornoninstantdigitalmessenger
Designing musical instruments for the browser,,2015/3,Journal,"Roberts, Charles; Wakefield, Graham; Wright, Matthew; Kuchera-Morin, JoAnn; ",,Computer Music Journal,,39,1,27-40,,,MITP,10.1162/COMJ_a_00283,,http://www.mitpressjournals.org/doi/abs/10.1162/COMJ_a_00283#.VkL35tBkflc,http://dx.doi.org/10.1162/COMJ_a_00283,"Native Web technologies provide great potential for musical expression. We introduce two JavaScript libraries towards this end: Gibberish.js, providing heavily optimized audio DSP, and Interface.js, a GUI toolkit that works with mouse, touch, and motion events. Together they provide a complete system for defining musical instruments that can be used in both desktop and mobile Web browsers. Interface.js also enables control of remote synthesis applications via a server application that translates the socket protocol used by Web interfaces into both MIDI and OSC messages. We have incorporated these libraries into the creative coding environment Gibber, where we provide mapping abstractions that enable users to create digital musical instruments in as little as a single line of code. They can then be published to a central database, enabling new instruments to be created, distributed, and run entirely in the browser.",,,2015,3,March,article,roberts_2015_designingmusicalinstrumentsforthebrowser
"Generative spatial montage with multi-layered screens in ""Lost Fragments of Night""",,2015/3,Conference,"Bahng, Sojung; Hutchings, Patrick; Yoo, Doo Won; Shi, Chung Kon; Wakefield, Graham; ","Bahng, So Jung and Hutchings, Patrick",International Symposium on Electronic Arts,,,,,"Brad Moody, Marta Ameri, Thorsten Lomker",Dubai,,,,,,"`Lost Fragments of Night' is a poetic documentary film that utilizes an algorithmic generative editing system to preselect shots to be rendered over four screens arranged in layers. The artwork's subject is the chaotic and contradictory sensations found by night in the city of Seoul. In this work, the themes of disconnected and paradoxical images in urban public spaces resonate with the concepts of the multi-layered screens and generative editing system. The fragmented images are distributed over layers of screens to emphasize a chaotic and simultaneous sense of fragility that nevertheless together forms a whole. Designed for large-scale installation in urban public spaces, our artwork has been prototyped via a physical miniature, projecting by rear diffusion onto four layered screens constructed of grey sheer fabric. The audience can appreciate the montage from different angles and positions to produce different layering effects not possible in traditional 2D cinema. The generative editing system uses a dynamic Bayesian network constructed according to clips and timeline tagging. Audience members can actively contribute to the direction of the montage through a web interface, so the artwork creates different experiences by embracing the role of the audience in every screening.",,,2015,3,March,inproceedings,bahng_2015_generativespatialmontagewithmultilayeredscreensinlostfragmentsofnight
Toward Certain Sonic Properties of an Audio Feedback System by Evolutionary Control of Second-Order Structures,,2015/4,Conference,"Kim, Seunghun; Nam, Juhan; Wakefield, Graham; ","Kim, Seunghun",International Conference on Evolutionary and Biologically Inspired Music and Art,Lecture Notes in Computer Science,9027,,113-124,,"Copenhagen, Denmark","Springer, Cham",10.1007/978-3-319-16498-4_11,978-3-319-16497-7,http://link.springer.com/chapter/10.1007%2F978-3-319-16498-4_11,http://dx.doi.org/10.1007/978-3-319-16498-4_11,"Aiming for high-level intentional control of audio feedback, though microphones, loudspeakers and digital signal processing, we present a system adapting toward chosen sonic features. Users control the system by selecting and changing feature objectives in real-time. The system has a second-order structure in which the internal signal processing algorithms are developed according to an evolutionary process. Genotypes develop into signal-processing algorithms, and fitness is measured by analysis of the incoming audio feedback. A prototype is evaluated experimentally to measure changes of audio feedback depending on the chosen target conditions. By enhancing interactivity of an audio feedback through the intentional control, we expect that feedback systems could be utilized more effectively in the fields of musical interaction, finding balance between nonlinearity and interactivity.",,,2015,4,April,inproceedings,kim_2015_towardcertainsonicpropertiesofanaudiofeedbacksystembyevolutionarycontrolofsecondorderstructures
Augmenting Room Acoustics and System Interaction for Intentional Control of Audio Feedback,,2015/10,Conference,"Kim, Seunghun; Wakefield, Graham; Nam, Juhan; ","Kim, Seunghun",Proceedings of the International Computer Music Conference,,,,,,"Denton, Texas, USA",University of North Texas,,,,,"This paper presents the interactive enhancement of audio feedback through context-based control, leading to the generation of desired sonic behaviors by augmenting the effects of physical space in the feedback sound. Our prototype maps approximations of room reverberation to tempo-scale characteristics of the audio feedback. These characteristics are generated by a combination of adaptive amplification control and a digital variable delay line in the feedback loop. Room reverberation is inferred from the feedback sound by real-time cross-correlation of input with output signals, which is used to guide the variable delay line. This variation, coupled with an adaptive gain control, determines room-dependent tempo effects.",,,2015,10,October,inproceedings,kim_2015_augmentingroomacousticsandsysteminteractionforintentionalcontrolofaudiofeedback
Endogenous biologically-inspired visualization immersed within an art of complex systems.,,2015/10,Conference,"Ji, Haru; Wakefield, Graham; ",,IEEE VIS Arts Program (VISAP),,,,30-37,"Angus Forbes, Fanny Chevalier, Daria Tsoupikova","Chicago, USA","Chicago, Illinois",,,http://visap.uic.edu/2015/VISAP15-Papers/visap2015_Ji_BiologicallyInspired.pdf,,"We document techniques and insights gained through the creation of interactive visualizations of biologically-inspired complex systems that have been exhibited as mixed-reality art installations since 2007. A binding theme is the importance of endogenous accounts: that all perceivable forms have dynamic ontological capacities within the world; that the simulated world is able to autonomously originate; that as a result interaction can lead to exploratory discovery; and that visitors become part of the ecosystem, both through immersive display and through interactions that induce presence. Details of how each of these components have been applied in the visualization, sonification, and interaction design are given with specific examples of prototypes and exhibited installations.",,,2015,10,October,inproceedings,ji_2015_endogenousbiologicallyinspiredvisualizationimmersedwithinanartofcomplexsystems
Endogenous biologically inspired art of complex systems,,2016/1,Journal,"Ji, Haru; Wakefield, Graham; ",,IEEE Computer Graphics and Applications,Computer Graphics and Applications,36,1,16-21,,,IEEE Computer Society,,,https://www.computer.org/csdl/mags/cg/2016/01/mcg2016010016-abs.html,,,,,2016,1,January,article,ji_2016_endogenousbiologicallyinspiredartofcomplexsystems
Augmenting Environmental Interaction in Audio Feedback Systems,,2016/4,Journal,"Kim, Seunghun; Wakefield, Graham; Nam, Juhan; ","Kim, Seunghun",Applied Sciences,,6,5,125-139,,,Multidisciplinary Digital Publishing Institute,10.3390/app6050125,,,,"Audio feedback is defined as a positive feedback of acoustic signals where an audio input and output form a loop, and may be utilized artistically. This article presents new context-based controls over audio feedback, leading to the generation of desired sonic behaviors by enriching the influence of existing acoustic information such as room response and ambient noise. This ecological approach to audio feedback emphasizes mutual sonic interaction between signal processing and the acoustic environment. Mappings from analyses of the received signal to signal-processing parameters are designed to emphasize this specificity as an aesthetic goal. Our feedback system presents four types of mappings: approximate analyses of room reverberation to tempo-scale characteristics, ambient noise to amplitude and two different approximations of resonances to timbre. These mappings are validated computationally and evaluated experimentally in different acoustic conditions.",,,2016,4,April,article,kim_2016_augmentingenvironmentalinteractioninaudiofeedbacksystems
Sonic Participation in the Evolving Audio Feedback System,,2016/5,Conference,"Kim, Seunghun; Oh, Changheun, Wakefield, Graham; Nam, Juhan","Kim, Seunghun",Proceeedings of the 22nd International Symposium on Electronic Art,,,,,,Hong Kong,ISEA International,,,,,,,,2016,5,May,inproceedings,kim_2016_sonicparticipationintheevolvingaudiofeedbacksystem
Live Coding the Digital Audio Workstation,,2016/10,Conference,"Roberts, Charles; Wakefield, Graham; ",,Proceedings of the 2nd International Conference on Live Coding,,,,,,"Hamilton, Canada",McMaster University,,,,,,,,2016,10,October,inproceedings,roberts_2016_livecodingthedigitalaudioworkstation
Recent Realizations of Artificial Nature,,2016/11,Chapter,"Ji, Haru; Wakefield, Graham; ",,Living Architecture Systems Group White Papers,,,,197-206,,"Waterloo, Canada",Riverside Architectural Press,,,,,"Since 2007 the authors have been pursuing a line of research-creation that utilizes installations of highly-immersive mixed reality and interactive generative art to investigate new relationships with a future that is increasingly immersed in computation, but which draws more inspiration from the complex sense of open-ended continuation found in nature than any closed character of utilitarian closure. This project has produced in a series of 'artificial natures', whose installations account for over thirty-five exhibits across nine countries. These are proposed as viscerally-experienced explorations of the physical and cultural future of near-living interconnected architectural environments saturated in computational media. In this white paper the central concerns of the artificial nature project are illustrated with three examples, including ancillary contributions and key questions for the future.",,,2016,11,November,incollection,ji_2016_recentrealizationsofartificialnature
A Virtual Machine for Live Coding Language Design,,2017/5,Conference,"Wakefield, Graham; Roberts, Charles; ",,Proceedings of the New interfaces for Musical Expression Conference,,,,,,"Copenhagen, Denmark",,,,,,,,,2017,5,May,inproceedings,wakefield_2017_avirtualmachineforlivecodinglanguagedesign
gibberwocky: New Live-Coding Instruments for Musical Performance,,2017/5,Conference,"Roberts, Charles; Wakefield, Graham; ",,Proceedings of the International Conference on New Interfaces for Musical Expression,,,,,,"Copenhagen, Denmark",,,,,,,,,2017,5,May,inproceedings,roberts_2017_gibberwockynewlivecodinginstrumentsformusicalperformance
Incorporating Kinesthetic Creativity and Gestural Play into Immersive Modeling,,2017/6,Conference,"Jang, Sung-A; Wakefield, Graham; Lee, Sung-Hee; ","Jang, Sung-A",Proceedings of the 4th International Conference on Movement Computing,,,,17-24,,"London, United Kingdom",ACM,10.1145/3077981.3078045,,https://dl.acm.org/citation.cfm?id=3078045,,,,,2017,6,June,inproceedings,jang_2017_incorporatingkinestheticcreativityandgesturalplayintoimmersivemodeling
Biotopes Numériques (Computational Biotopes),X,2017/12,Chapter,"Ji, Haru; Wakefield, Graham; ",,Le Paradigme du Vivant (The Paradigm of Living Systems),Stream,4,,,,"Paris, France",Philippe Chiambaretta Architecte,,,,,,,,2017,12,December,incollection,ji_2017_biotopesnumriquescomputationalbiotopes
2013: The Web Browser as Synthesizer and Interface,X,2018/1,Chapter,"Roberts, Charles; Wakefield, Graham; Wright, Matthew; ",,A NIME Reader,,,,433-450,,,Springer International Publishing,,,,,,,,2018,1,January,incollection,roberts_2018_2013thewebbrowserassynthesizerandinterface
Open Worlds: Bergson And Computational Ontology,X,2018/1,Chapter,"Wakefield, Graham",,"Worldmaking as Techné: Exploring Worlds of Participatory Art, Architecture, and Music",,,,,"Hosale, Mark-David; Murrani, Sana; de Campo, Alberto","Waterloo, Canada",Riverside Architectural Press,,,,,"These are exciting times for world-makers. Widely-available virtual worlds, whether fully immersive virtual realities, or mixed realities that blend with or augment the real, at last appear to be imminent. This path of worldmaking is suddenly widely-backed, affordable, and accessible, with eager anticipation far beyond the catalytic space of videogames including art, design, film, architecture, information visualization, and more. It bears all the hallmarks of the birth of a new medium. The conventions have yet to be frozen, the genres crystallized, the messages of the medium deciphered. And inevitably it is being understood through a McLuhanian rear-view mirror: projecting old game tropes awkwardly into new spaces, and struggling with the loss of the frame, the cut, and the directed view of cinema. Rather than extrapolating forward from the familiar in this way, as world-makers we would rather find a path to a reach speculative goal: a creative ontology that opens upon the vast creative poiesis that the generative grains of computation make possible, making worlds that approach the open-endedness of the natural reality we inhabit, including its endless capacity to change and reveal surprisingly new and fascinating phenomena. To this end we revive the nature-inspired creative philosophy of Henri Bergson, and address the challenges and potentials of re-projecting it into interactive computational media, to illuminate a way forward.",,"A peer-reviewed collection connecting theory and practice (techné) with the ontologies of interactive worlds, catalyzed by a panel discussion at the Inter-Society of Electronic Arts (ISEA) conference 2011. My chapter analyzes the challenge of creating systems that continually recreate themselves in an open-ended manner; a core problem for generative art, artificial life, and responsive environments. My contribution leverages the oft-misunderstood creative philosophy of Henri Bergson, reconciling it with computation through interactive, self-modifying and rewriting systems.",2018,1,January,incollection,wakefield_2018_openworldsbergsonandcomputationalontology
Tensions and Techniques in Live Coding Performance,X,2018/1,Chapter,"Roberts, Charles; Wakefield, Graham",,The Oxford Handbook of Algorithmic Music,,,,,"Dean, Roger; McLean, Alex","Oxford, United Kingdom",Oxford University Press,,,,,"A review of live coding techniques building upon algorithmic descriptions of musical pattern and sound synthesis, to explore how algorithms are made and improvised with, with focus on the temporal relationship between performer, their algorithm and their performance.",,"Peer review back for the Oxford Handbook on Algorithmic Music, concludes that it 'deserves the reputation of being the goto book on algorithmic music in general and the trending wave of live coding in particular.'",2018,1,January,incollection,roberts_2018_tensionsandtechniquesinlivecodingperformance
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
,,,,,,,,,,,,,,,,,,,,,1899,12,December,article,#VALUE!
