bibtex_entrytype,bibtex_id,status,title,author,editor,year,booktitle,publisher,abstract,commentary,generated_authorlist,generated_editorlist,month,journal,volume,generated_monthname,pages,DOI,URL,venue,number,trainee,voluome,BDSK-URL-1,ISBN,BDSK-URL-2,annote,address,school
"inproceedings","wakefield2010luaav","","LuaAV: Extensibility and heterogeneity for audiovisual computing","[object Object],[object Object],[object Object]","[object Object]","2010","Proceedings of the Linux Audio Conference","Hogeschool voor de Kunsten","We describe LuaAV, a runtime library and applica- tion which extends the Lua programming language to support computational composition of temporal, sound, visual, spatial and other elements. In this paper we document how we have attempted to maintain several core principles of Lua itself - extensibility, meta-mechanisms, efficiency, portabil- ity - while providing the flexibility and temporal accuracy demanded by interactive audio-visual media. Code generation is noted as a recurrent strategy for increasingly dynamic and extensible environments.","","Graham Wakefield, Wesley Smith, Charles Roberts","Maurits Lamers","5","","","May","31-38","","","Utrecht, the Netherlands","","","","","","","","",""
"article","thompson2009allobrain","","The Allobrain: An Interactive, Stereoscopic, 3D Audio, Immersive Virtual World","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","","2009","","Elsevier","This paper describes the creation of the Allobrain project, an interactive, stereoscopic, 3D audio, immersive virtual world constructed from fMRI brain data and installed in the Allosphere, one of the largest virtual reality spaces in existence. This paper portrays the role the Allobrain project played as an artwork driving the technological infrastructure of the Allosphere. The construction of the Cosm toolkit software for prototyping the Allobrain and other interactive, stereographic, 3D audio, immersive virtual worlds in the Allosphere is described in detail. Aesthetic considerations of the Allobrain project are discussed in relation to world-making as a means to understand and explore large data sets.","","John Thompson, JoAnn Kuchera-Morin, Marcos Novak, Dan Overholt, Lance Putnam, Graham Wakefield, Wesley Smith","","","International Journal of Human-Computer Studies","67","","934-946","10.1016/j.ijhcs.2009.05.005","http://www.sciencedirect.com/science/article/pii/S1071581909000688","","11","","","http://dx.doi.org/10.1016/j.ijhcs.2009.05.005","","","","",""
"inproceedings","ji2009fluid","","Artificial Nature: Fluid Space","[object Object],[object Object]","[object Object],[object Object]","2009","Proceedings of SIGGRAPH ASIA Art Gallery & Emerging Technologies: Adaptation","ACM","","","Haru (Hyunkyung) Ji, Graham Wakefield","Tomoe Moriyama, Stephanie Choo","12","","","December","26-26","10.1145/1665137.1665153","","Yokohama, Japan","","","","http://dx.doi.org/10.1145/1665137.1665153","978-1-60558-878-0","","","",""
"incollection","wakefield2009artificial","","Artificial nature: Immersive world making","[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","2009","Applications of Evolutionary Computing","Springer-Verlag Berlin Heidelberg","Artificial Nature is a trans-disciplinary research project drawing upon bio-inspired system theories in the production of engaging immersive worlds as art installations. Embodied world making and immersion are identified as key components in an exploration of creative ecosystems toward art-as-it-could-be. A detailed account of the design of a successfully exhibited creative ecosystem is given in these terms, and open questions are outlined.","EvoMusArt forms part of the EvoSTAR European Workshops on Applications of Evolutionary Computation. Our paper describes an ongoing research project drawing upon bio-inspired system theories in the production of engaging immersive worlds as art installations. Embodied world making and immersion are identified as key components in an exploration of creative ecosystems toward art-as-it-could-be, and a detailed account of the design of a successfully exhibited creative ecosystem is given in these terms.","Graham Wakefield, Haru (Hyunkyung) Ji","Mario Giacobini et al.","","Theoretical Computer Science and General Issues","5484","","597-602","10.1007/978-3-642-01129-0","http://link.springer.com/chapter/10.1007%2F978-3-642-01129-0_68","The Evolutionary Music and Art Workshop, T&uuml;bingen","","","","http://dx.doi.org/10.1007/978-3-642-01129-0","978-3-642-01128-3","","","",""
"incollection","smith2009computational","","Computational Composition and Creativity","[object Object],[object Object]","","2009","Proceedings of the NSF Media Arts, Science and Technology Conference","National Science Foundation","Artificial Nature is a trans-disciplinary multimodal interactive art installation and a research subject investigating the application of bio-inspired system theories in the production of engaging aesthetic immersive worlds. As a creative ecosystem, three virtual strata - inanimate, animate, and behavioral - truly captivate the viewer through multi-sensory interactions by drawing (touch), singing (audio), dancing (movement, visual) and navigating (movement, touch).","","Wesley Smith, Graham Wakefield","","","","","","","","","Santa Barbara, USA","","","","","","","","",""
"incollection","wakefield2009machinic","","Makeshift, Machinic / Open","[object Object]","[object Object],[object Object]","2009","Machine Dreams","KoIAN","","","Graham Wakefield","Byeong Sam Jeon, Haru (Hyunkyung) Ji","","","","","120-123","","","Seoul, Republic of Korea","","","","","978-89-963788-0-8","","","",""
"inproceedings","ji2009artificial","","Artificial Nature","[object Object],[object Object]","","2009","Proceedings of the NSF Media Arts, Science and Technology Conference","National Science Foundation","Artificial Nature is a trans-disciplinary multimodal interactive art installation and a research subject investigating the application of bio-inspired system theories in the production of engaging aesthetic immersive worlds. As a creative ecosystem, three virtual strata - inanimate, animate, and behavioral - truly captivate the viewer through multi-sensory interactions by drawing (touch), singing (audio), dancing (movement, visual) and navigating (movement, touch).","","Haru (Hyunkyung) Ji, Graham Wakefield","","","","","","","","","Santa Barbara, USA","","","","","","","","",""
"inproceedings","smith2009augmenting","","Augmenting Computer Music with Just-In-Time Compilation","[object Object],[object Object]","","2009","Proceedings of the International Computer Music Conference","ICMA","We discuss the potential of just-in-time compilation for computer music software to evade compromises of flexibility and efficiency due to the discrepencies between the respective natures of composition and computation and also to augment exploratory and generative capacity. We present a range of examples and approaches using LLVM compiler infrastructure within the LuaAV composition environment and measure its performance against static compilation.","","Wesley Smith, Graham Wakefield","","8","","","August","439-442","","http://quod.lib.umich.edu/i/icmc/bbp2372.2009.100/-augmenting-computer-music-with-just-in-time-compilation?view=image&seq=1&size=100","Montreal, Canada","","","","","","","","",""
"inproceedings","ji2009artificialrandd","","Artificial Nature: Research and Development","[object Object],[object Object]","","2009","The 2nd International Conference on Media Art and Information Aesthetics","CAFA Art Museum","Artificial Nature is a trans-disciplinary multimodal interactive art installation and a research subject investigating the application of bio-inspired system theories towards engaging aesthetic world-making. Our motivation is to develop a deeper understanding of emergence and creativity as a form of art, study and play, by taking inspiration from nature's creativity while recognizing the potential of natural creation beyond the known and the physical. In this paper we trace the progression of Artificial Nature from original inspirations through diverse prototypes to elaborate immersive installations.","","Haru (Hyunkyung) Ji, Graham Wakefield","","7","","","July","","","","Beijing, China","","","","","","","","",""
"incollection","smith2008computational","","Computational Audiovisual Composition using Lua","[object Object],[object Object]","[object Object],[object Object],[object Object]","2008","Transdisciplinary Digital Art. Sound, Vision and the New Screen","Springer-Verlag Berlin Heidelberg","We describe extensions to the Lua programming language constituting a novel platform to support practice and investigation in computational audiovisual composition. Significantly, these extensions enable the tight real-time integration of computation, time, sound and space, and follow a modus operandi of development going back to immanent properties of the domain.","","Wesley Smith, Graham Wakefield","Randy Adams, Steve Gibson, Stefan M&uuml;ller Arisona","","Communications in Computer and Information Science","7","","213-228","10.1007/978-3-540-79486-8","http://link.springer.com/chapter/10.1007/978-3-540-79486-8_19","","","","","http://dx.doi.org/10.1007/978-3-540-79486-8","978-3-540-79486-8","","","",""
"incollection","amatriain2008experiencing","","Experiencing Audio and Music in a Fully Immersive Environment","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object]","2008","Computer Music Modeling and Retrieval. Sense of Sounds","Springer","The UCSB Allosphere is a 3-story-high spherical instrument in which virtual environments and performances can be experienced in full immersion. The space is now being equipped with high-resolution active stereo projectors, a 3D sound system with several hundred speakers, and with tracking and interaction mechanisms. The Allosphere is at the same time multimodal, multimedia, multi-user, immersive, and interactive. This novel and unique instrument will be used for research into scientific visualization/auralization and data exploration, and as a research environment for behavioral and cognitive scientists. It will also serve as a research and performance space for artists exploring new forms of art. In particular, the Allosphere has been carefully designed to allow for immersive music and aural applications. In this paper, we give an overview of the instrument, focusing on the audio subsystem. We give the rationale behind some of the design decisions and explain the different techniques employed in making the Allosphere a truly general-purpose immersive audiovisual lab and stage. Finally, we present first results and our experiences in developing and using the Allosphere in several prototype projects.","","Xavier Amatriain, Jorge Castellanos, Tobias H&ouml;llerer, JoAnn Kuchera-Morin, Stephen T Pope, Graham Wakefield, Will Wolcott","Richard Kronland-Martinet, S&oslashlvi Ystad, Kristoffer Jensen","","Information Systems and Applications","4969","","380-400","10.1007/978-3-540-85035-9","http://link.springer.com/chapter/10.1007%2F978-3-540-85035-9_27","","","","","http://dx.doi.org/10.1007/978-3-540-85035-9","978-3-540-85034-2","","","",""
"inproceedings","ji2008artificial","","Artificial Nature as an Infinite Game","[object Object],[object Object]","[object Object],[object Object],[object Object]","2008","Proceedings of the International Symposium of Electronic Arts","The Inter-Society for the Electronic Arts","'Artificial Nature as an Infinite Game' is a trans-modal media art installation consisting of an evolutionary virtual world with a physical user interface. This virtual world is a complex, open, dynamical and dissipative system, interweaving physico-chemical, biological and symbolic strata. In actual space, spectators can witness, control and discover beautiful, generative and abstract spatio-temporal patterns evolving from the behaviors of A-life agencies in the virtual space, while the art work itself is questioning of a new understanding the concept of beauty and creativity in nature, culture and actual, virtual world.","","Haru (Hyunkyung) Ji, Graham Wakefield","Ingrid Maria Hoofd, Margaret Tan, Katharine Ho Kit Ying","8","","","August","256-258","","","Singapore","","","","","978-981-08-0768-9","","","",""
"article","zwick2008instructional","","Instructional Tools in Educational Measurement and Statistics (ITEMS) for School Personnel: Evaluation of Three Web-Based Training Modules","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","","2008","","Wiley Online Library","","","Rebecca Zwick, Jeffrey C Sklar, Graham Wakefield, Cris Hamilton, Alex Norman, Douglas Folsom","","","Educational Measurement: Issues and Practice","27","","14-27","","","","2","","","","","","","",""
"inproceedings","ji2008artificialasia","","Artificial Nature as an Infinite Game","[object Object],[object Object]","","2008","Proceedings of ASIAGRAPH","ASIAGRAPH","A virtual embodiment of an auto-creative world: generative, interactive transmodal media art installation bringing forth an ecosystem of creativity through a meshwork of strata (geo-, chemo-, bio-, sono-), re-questioning the meanings and relationships of nature, culture, life and beauty.","","Haru (Hyunkyung) Ji, Graham Wakefield","","7","","","July","","","","Shanghai, China","","","","","","","","",""
"inproceedings","wakefield2008allobrain","","The AlloBrain: an Interactive Stereoscopic, 3D Audio Immersive Environment","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","2008","Proceedings of the CHI Conference Workshop on Sonic Interaction Design (SID-CHI)","ACM","This document describes the AlloBrain, the debut content created for presentation in the AlloSphere at the University of California, Santa Barbara, and the Cosm toolkit for the prototyping of interactive immersive environments using higher-order Ambisonics and stereoscopic projections. The Cosm toolkit was developed in order to support the prototyping of immersive applications that involve both visual and sonic interaction design. Design considerations and implementation details of both the Cosm toolkit and the AlloBrain are described in detail, as well as the development of custom human-computer interfaces and new audiovisual interaction methodologies within a virtual environment.","The article introduces the first project created for the CNSI AlloSphere at UC Santa Barbara (a 3-storey spherical CAVE-like environment), which provides an interactive, navigable world visualizing and sonifying fMRI brain data, of which I was the primary implementor. The article was extended for the International Journal of Human Computer Studies.","Graham Wakefield, JoAnn Kuchera-Morin, Marcos Novak, Dan Overholt, Lance Putnam, John Thompson, Wesley Smith","Davide Rocchesso et al.","4","","","April","","","","Florenz, Italy","","","","","978-1-60558-012-8/08/04","","","",""
"inproceedings","wakefield2007real","","Using Lua for Audiovisual Composition","[object Object],[object Object]","","2007","Proceedings of the International Computer Music Conference","ICMA","In this paper, we present new opportunities to overcome some of the inherent limitations of a visual data-flow environment such as Max/MSP/Jitter, by using domain specific (audio and graphical) extensions of the Lua programming language as libraries (externals). Lua is flexible, extensible and efficient, making it an ideal choice for designing a programmatic interface for multimedia composition.","","Graham Wakefield, Wesley Smith","","8","","","August","341-344","","","Copenhagen, Denmark","","","","","","","","",""
"inproceedings","smith2007real","","Real-time Multimedia Composition using Lua","[object Object],[object Object]","[object Object]","2007","Proceedings of the Digital Art Weeks","Digital Art Weeks International","In this paper, we present a new interface for programming multimedia compositions in Max/ MSP/Jitter using the Lua scripting language. Lua is extensible and efficient making it an ideal choice for designing a programmatic interface for multimedia compositions. First, we discuss the distinctions of graphical and textual interfaces for composition and the requirements for a productive compositional workflow, and then we describe domain specific implementations of Lua bindings as Max externals for graphics and audio in that order.","","Wesley Smith, Graham Wakefield","Stefan M&uuml;ller Arisona","7","","","July","","","","Zurich, Switzerland","","","","","","","","",""
"mastersthesis","wakefield2007mastersthesis","","Vessel: A Platform for Computer Music Composition, Interleaving Sample-Accurate Synthesis and Control","[object Object]","","2007","","","The rich new terrains offered by computer music invite the exploration of new techniques to compose within them. The computational nature of the medium has suggested algorithmic approaches to composition in the form of generative musical structure at the note level and above, and audio signal processing at the level of individual samples. In the region between these levels, the domain of microsound, we may wish to investigate the musical potential of sonic particles that interrelate both signal processing and generative structure. In this thesis I present a software platform (`Vessel') for the exploration of such potential. In particular, a solution to the efficient scheduling of interleaved sound synthesis and algorithmic control with sample accuracy is expounded. The formal foundations, design and implementation are described, the project is contrasted with existing work, and avenues for musical application and future exploration are proposed.","","Graham Wakefield","","6","","","June","","","http://www.mat.ucsb.edu/~wakefield/pubs/07_Wakefield_MSThesis_Vessel.pdf","","","","","","","","","Santa Barbara, USA","University of California Santa Barbara"
"inproceedings","wakefield2006third","","Third-Order Ambisonic Extensions for Max/MSP with Musical Applications","[object Object]","[object Object],[object Object]","2006","Proceedings of the International Computer Music Conference","ICMA","This paper describes a package of extensions (externals) for Cycling `74's Max/MSP software to facilitate the exploration of Ambisonic techniques of up to third order. Areas of exploration well suited to the Max/MSP environment and techniques for composition within the Ambisonic domain using the presented externals are described.","","Graham Wakefield","Georg Essl, Ichiro Fujinaga","11","","","November","123-126","","http://quod.lib.umich.edu/i/icmc/bbp2372.2006.027/-third-order-ambisonic-extensions-for-maxmsp-with-musical?view=image","New Orleans, USA","","","","","0-9713192-4-3","","","",""
